Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1042_1x18650,1,Battery_Cell,C2988620
"C1, C2",1206,2,12pF,C1886
"C10, C9",1206,2,47uF,C94034
"C11, C13",1206,2,120pF,C5186921
"C12, C15, C16, C17, C19, C20, C26, C29, C3, C30, C31, C4, C7",1206,13,100nF,C110255
"C14, C28",1206,2,3.3uF,C76663
"C18, C21, C22, C23, C24, C25, C27, C5, C8",1206,9,330nF,C274377
C6,1206,1,22uF,C2835562
"D1, D2, D7, D8",D_SOD-123,4,1N5819HW-7-F,C82544
"D4, D5",PHODET_APDS-9005-020,2,APDS-9005-020,C2649497
D6,1206,1,LED,C84270
D9,LED_ROHM_SMLVN6,1,Inolux_IN-P55TATRGB,C784540
IC1,VEML6030,1,VEML6030,C132182
IC2,SOIC127P600X150-9N,1,AP7362-33SP-13,C780775
J1,BarrelJack_Wuerth_6941xx301002,1,Jack-DC,C16214
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J3,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J4,Harwin_M20-89003xx_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,C5242196
"MK1, MK2",POM-2244P-C3310-2-R,2,Microphone_Condenser,C233939
MK3,T3902,1,T3902,C3171752
"R1, R2, R21, R23",0603,4,5k1,C23186
"R10, R11, R16, R17",0603,4,200k,C25811
"R12, R18",0603,2,787R,C137683
"R13, R14, R19, R20, R27, R6",0603,6,10k,C25804
"R15, R9",0603,2,5.9k,C23071
"R22, R24, R28, R29, R30",0603,5,1K,C21190
"R25, R26, R31",0603,3,4.99k,C114621
"R3, R4, R7, R8",0603,4,0R,C21189
R5,0603,1,1M,C22935
SW1,SW_SPST_PTS647_Sx38,1,EN,C2689502
SW2,SW_SPST_PTS647_Sx38,1,BOOT,C2689502
SW3,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,1,SW_Push,C110293
TH1,R_LDR_4.9x4.2mm_P2.54mm_Vertical,1,Thermistor_NTC,C13879
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP2, TP3, TP4, TP8, TP9",TestPoint_Pad_D3.0mm,15,TestPoint,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C2913206
"U10, U3, U4, U8",SOT-23-5_HandSoldering,4,LMV321,C395459
U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,C125972
U5,SOT-23-6,1,BQ21040DBV,C202311
U7,DMB0006A,1,HDC1080DMBR,C82227
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C97606
